cycle,applicant,school,complete_month,complete_date,pre-II_reject_month,pre-II_reject_date,interview_received_month,interview_received_date,interview_on_month,interview_on_date,accepted_month,accepted_date,post-II_reject_month,post-II_reject_date
2021,definitely_chondria,Yale,July,7/14/2020,,,October,10/6/2020,,,,,,
2021,definitely_chondria,Albert Einstein,July,7/22/2020,January,1/12/2021,,,,,,,,
2021,definitely_chondria,Weill Cornell Tri-I,July,7/15/2020,October,10/23/2020,,,,,,,,
2021,definitely_chondria,Northwestern,July,7/15/2020,February,2/12/2021,,,,,,,,
2021,definitely_chondria,UC San Diego,July,7/11/2020,January,1/26/2021,,,,,,,,
2021,definitely_chondria,UC San Francisco,July,7/31/2020,January,1/28/2021,,,,,,,,
2021,definitely_chondria,University of Chicago,July,7/14/2020,February,2/9/2021,,,,,,,,
2021,definitely_chondria,University of Colorado,July,7/18/2020,February,2/9/2021,,,,,,,,
2021,definitely_chondria,University of Maryland,July,7/18/2020,February,2/2/2021,,,,,,,,
2021,definitely_chondria,Perelman School of Medicine,August,8/1/2020,February,2/4/2021,,,,,,,,
2021,Bear08150902,Case Western,August,8/18/2020,,,September,9/18/2020,,,,,,
2021,Bear08150902,Weill Cornell Tri-I,July,7/16/2020,August,8/27/2020,,,,,,,,
2021,Bear08150902,WashU in St. Louis,July,7/23/2020,August,8/14/2020,,,,,,,,
2021,Bear08150902,University of Washington,July,7/14/2020,July,7/26/2020,,,,,,,,
2021,RiceCrisprs,Case Western,July,7/22/2020,,,September,9/18/2020,,,,,,
2021,RiceCrisprs,Icahn at Mt. Sinai,July,7/13/2020,,,October,10/30/2020,December,12/14/2020,February,2/1/2021,,
2021,RiceCrisprs,Northwestern,July,7/21/2020,,,November,11/16/2020,December,12/9/2020,January,1/11/2021,,
2021,RiceCrisprs,Ohio State University,July,7/26/2020,,,August,8/28/2020,October,10/21/2020,November,11/23/2020,,
2021,RiceCrisprs,Perelman School of Medicine,August,8/4/2020,,,September,9/16/2020,October,10/8/2020,March,3/3/2021,,
2021,RiceCrisprs,Thomas Jefferson,July,7/13/2020,,,July,7/30/2020,,,,,,
2021,RiceCrisprs,Temple University,July,7/29/2020,,,September,9/22/2020,November,11/5/2020,December,12/8/2020,,
2021,RiceCrisprs,University of Illinois,July,7/26/2020,,,October,10/16/2020,,,,,,
2021,RiceCrisprs,University of Maryland,August,8/1/2020,,,December,12/18/2020,,,,,,
2021,RiceCrisprs,University of Minnesota,July,7/24/2020,,,August,8/12/2020,October,10/29/2020,December,12/11/2020,,
2021,RiceCrisprs,UT San Antonio,August,8/9/2020,,,September,9/9/2020,,,,,,
2021,RiceCrisprs,UT Southwestern,July,7/11/2020,,,September,9/9/2020,,,,,,
2021,RiceCrisprs,University of Wisconsin,September,9/1/2020,,,October,10/17/2020,,,,,,
2021,RiceCrisprs,Albert Einstein,July,7/12/2020,September,9/16/2020,,,,,,,,
2021,RiceCrisprs,Harvard,August,8/27/2020,December,12/21/2020,,,,,,,,
2021,RiceCrisprs,UC San Francisco,August,8/9/2020,February,2/9/2021,,,,,,,,
2021,RiceCrisprs,University of Pittsburgh,July,7/20/2020,November,11/23/2020,,,,,,,,
2021,RiceCrisprs,University of Washington,July,7/27/2020,August,8/10/2020,,,,,,,,
2021,RiceCrisprs,Yale,July,7/21/2020,December,12/29/2020,,,,,,,,
2021,cheerios123,Case Western,July,7/29/2020,,,September,9/18/2020,,,,,,
2021,cheerios123,New York University,July,7/23/2020,,,October,10/07/2020,,,,,,
2021,cheerios123,Stony Brook,July,7/25/2020,,,September,9/23/2020,November,,January,1/7/2021,,
2021,cheerios123,University of Iowa,August,8/5/2020,,,September,9/9/2020,October,,November,11/6/2020,,
2021,cheerios123,University of Miami,August,8/20/2020,,,October,10/09/2020,,,,,,
2021,cheerios123,University of Rochester,July,7/23/2020,,,September,9/14/2020,,,,,,
2021,cheerios123,Albert Einstein,August,8/7/2020,October,10/21/2020,,,,,,,,
2021,cheerios123,Weill Cornell Tri-I,July,7/28/2020,September,9/8/2020,,,,,,,,
2021,cheerios123,Harvard,July,7/30/2020,September,9/24/2020,,,,,,,,
2021,cheerios123,Mayo Clinic,August,8/12/2020,September,9/24/2020,,,,,,,,
2021,cheerios123,UC San Francisco,August,8/28/2020,November,11/9/2020,,,,,,,,
2021,cheerios123,University of Pittsburgh,July,7/29/2020,October,10/8/2020,,,,,,,,
2021,cheerios123,WashU in St. Louis,August,8/3/2020,November,11/19/2020,,,,,,,,
2021,cheerios123,Yale,July,7/27/2020,September,9/16/2020,,,,,,,,
2021,escrum,Case Western,August,8/9/2020,,,September,9/18/2020,,,,,,
2021,escrum,University of Massachusetts,August,8/17/2020,,,September,9/17/2020,,,,,,
2021,escrum,University of Rochester,August,8/5/2020,,,August,8/28/2020,,,,,,
2021,escrum,UT San Antonio,August,8/11/2020,,,September,9/11/2020,,,,,,
2021,Snaketail,Case Western,July,,,,September,9/18/2020,,,,,,
2021,Snaketail,Harvard,July,,,,November,11/16/2020,December,12/1/2020,,,March,3/2/2021
2021,Snaketail,Johns Hopkins,July,,,,September,9/14/2020,September,,May,,,
2021,Snaketail,Northwestern,July,,,,November,11/16/2020,December,12/9/2020,January,1/11/2021,,
2021,Snaketail,Ohio State University,August,8/07/2020,,,August,8/28/2020,,,,,,
2021,Snaketail,University of Chicago,July,,,,August,8/13/2020,,,,,,
2021,Snaketail,University of Iowa,July,7/19/2020,,,September,9/9/2020,October,,November,11/6/2020,,
2021,Snaketail,UT San Antonio,July,7/10/2020,,,August,8/14/2020,,,,,,
2021,Snaketail,University of Wisconsin,July,,,,September,9/30/2020,,,,,,
2021,Snaketail,WashU in St. Louis,August,8/07/2020,,,November,11/9/2020,December,12/18/2020,January,1/14/2021,,
2021,Snaketail,Albert Einstein,August,8/15/2020,January,1/12/2021,,,,,,,,
2021,Snaketail,Columbia,August,8/1/2020,February,2/8/2021,,,,,,,,
2021,Snaketail,Weill Cornell Tri-I,July,7/23/2020,October,10/23/2020,,,,,,,,
2021,Snaketail,Duke,August,8/10/2020,November,11/10/2020,,,,,,,,
2021,Snaketail,Icahn at Mt. Sinai,July,7/18/2020,January,1/22/2021,,,,,,,,
2021,Snaketail,Indiana University,July,7/10/2020,November,11/19/2020,,,,,,,,
2021,Snaketail,UC San Francisco,August,8/7/2020,January,1/28/2021,,,,,,,,
2021,Snaketail,University of Colorado,July,,February,2/9/2021,,,,,,,,
2021,Snaketail,University of Minnesota,July,7/29/2020,December,12/29/2020,,,,,,,,
2021,Snaketail,Perelman School of Medicine,August,8/2/2020,February,2/4/2021,,,,,,,,
2021,Snaketail,University of Pittsburgh,July,7/24/2020,November,11/23/2020,,,,,,,,
2021,Snaketail,Vanderbilt,July,7/25/2020,March,3/12/2021,,,,,,,,
2021,Snaketail,Yale,July,7/23/2020,November,11/20/2020,,,,,,,,
2021,Snaketail,New York University,,,,,,,November,11/11/2020,,,February,2/5/2021
2021,immunoguy23,Case Western,September,9/3/2020,,,December,12/11/2020,,,,,,
2021,immunoguy23,Stony Brook,August,8/14/2020,,,September,9/21/2020,,,,,,
2021,immunoguy23,University of Massachusetts,September,9/25/2020,,,October,10/30/2020,,,,,,
2021,immunoguy23,UT Medical Branch,October,10/5/2020,,,November,11/2/2020,,,,,,
2021,AmyGDala,Case Western,October,10/8/2020,,,December,12/11/2020,,,,,,
2021,AmyGDala,University of Colorado,October,10/7/2020,,,December,12/17/2020,,,,,,
2021,AmyGDala,University of Iowa,September,9/29/2020,,,October,10/21/2020,,,,,,
2021,schrodingerscat21,Case Western,July,7/29/2020,,,September,9/18/2020,November,11/4/2020,December,12/18/2020,,
2021,schrodingerscat21,Columbia,July,7/28/2020,,,September,9/14/2020,October,10/13/2020,February,2/24/2021,,
2021,schrodingerscat21,Duke,September,9/10/2020,,,November,11/11/2020,December,12/11/2020,February,2/23/2021,,
2021,schrodingerscat21,Harvard,July,7/29/2020,,,September,9/22/2020,November,11/10/2020,March,3/2/2021,,
2021,schrodingerscat21,Johns Hopkins,July,7/31/2020,,,September,9/25/2020,,,,,,
2021,schrodingerscat21,Northwestern,August,8/01/2020,,,September,9/29/2020,November,11/11/2020,November,11/30/2020,,
2021,schrodingerscat21,Ohio State University,August,8/15/2020,,,August,8/28/2020,September,9/16/2020,November,11/3/2020,,
2021,schrodingerscat21,Perelman School of Medicine,August,8/07/2020,,,October,10/07/2020,,,,,,
2021,schrodingerscat21,Stanford,July,7/25/2020,,,September,9/28/2020,,,,,,
2021,schrodingerscat21,UC San Francisco,September,9/06/2020,,,December,12/21/2020,January,1/20/2021,February,2/26/2021,,
2021,schrodingerscat21,University of Michigan,August,8/07/2020,,,November,11/16/2020,January,1/21/2021,February,2/14/2021,,
2021,schrodingerscat21,University of Wisconsin,July,7/30/2020,,,October,10/18/2020,November,11/19/2020,December,12/9/2020,,
2021,schrodingerscat21,WashU in St. Louis,July,7/30/2020,,,August,8/27/2020,September,9/25/2020,November,11/13/2020,,
2021,schrodingerscat21,Yale,July,7/27/2020,,,October,10/06/2020,,,,,,
2021,schrodingerscat21,Weill Cornell Tri-I,July,7/29/2020,September,9/08/2020,,,,,,,,
2021,schrodingerscat21,UC Los Angeles,September,9/03/2020,September,9/18/2020,,,,,,,,
2021,schrodingerscat21,UC San Diego,July,7/24/2020,November,11/18/2020,,,,,,,,
2021,schrodingerscat21,University of Colorado,July,7/27/2020,February,2/9/2021,,,,,,,,
2021,schrodingerscat21,University of North Carolina,August,8/6/2020,December,12/16/2020,,,,,,,,
2021,schrodingerscat21,USC-Caltech,July,7/26/2020,February,2/5/2021,,,,,,,,
2021,schrodingerscat21,University of Washington,August,8/24/2020,August,8/26/2020,,,,,,,,
2021,schrodingerscat21,Vanderbilt,August,8/26/2020,March,3/12/2021,,,,,,,,
2021,dngnc88,Columbia,August,8/5/2020,,,October,10/5/2020,,,,,,
2021,dngnc88,Duke,August,8/5/2020,,,November,11/11/2020,,,,,,
2021,dngnc88,Icahn at Mt. Sinai,July,7/20/2020,,,October,10/2/2020,,,,,,
2021,dngnc88,Medical University of South Carolina,July,7/30/2020,,,August,8/21/2020,November,11/20/2020,November,11/30/2020,,
2021,dngnc88,New York University,July,7/20/2020,,,September,9/23/2020,,,,,,
2021,dngnc88,Stanford,July,7/30/2020,,,September,9/28/2020,,,,,,
2021,dngnc88,UC Los Angeles,August,8/4/2020,,,November,11/2/2020,,,,,,
2021,dngnc88,University of North Carolina,August,8/5/2020,,,October,10/8/2020,,,,,,
2021,dngnc88,University of Pittsburgh,July,7/29/2020,,,October,10/2/2020,November,11/9/2020,December,12/3/2020,,
2021,dngnc88,University of Washington,July,7/24/2020,,,August,8/10/2020,,,,,,
2021,dngnc88,Vanderbilt,July,7/20/2020,,,October,10/27/2020,,,,,,
2021,dngnc88,WashU in St. Louis,July,7/24/2020,,,October,10/13/2020,,,,,,
2021,dngnc88,Weill Cornell Tri-I,July,7/22/2020,,,September,9/21/2020,November,11/5/2020,December,12/15/2020,,
2021,dngnc88,Johns Hopkins,August,8/5/2020,December,12/14/2020,,,,,,,,
2021,H0513,Columbia,August,8/9/2020,,,October,10/28/2020,,,,,,
2021,H0513,Icahn at Mt. Sinai,August,8/9/2020,,,October,10/30/2020,,,,,,
2021,H0513,Pennsylvania State University,August,8/12/2020,,,September,9/22/2020,,,,,,
2021,H0513,Perelman School of Medicine,August,8/4/2020,,,September,9/18/2020,,,,,,
2021,H0513,Tufts,August,8/21/2020,,,October,10/23/2020,,,,,,
2021,H0513,University of Pittsburgh,August,8/1/2020,,,August,8/13/2020,September,9/21/2020,October,10/22/2020,,
2021,ImmunoFanatic,Dartmouth,August,08/26/2020,,,October,10/30/2020,,,,,,
2021,ImmunoFanatic,New York University,September,9/14/2020,,,October,10/7/2020,,,,,,
2021,ImmunoFanatic,Perelman School of Medicine,August,8/16/2020,,,September,9/29/2020,,,,,,
2021,ImmunoFanatic,University of Chicago,August,8/17/2020,,,October,10/12/2020,,,,,,
2021,ImmunoFanatic,Stony Brook,August,8/25/2020,,,January,1/5/2021,,,,,,
2021,ImmunoFanatic,Rutgers,August,8/19/2020,,,October,10/12/2020,October,,February,,,
2021,ImmunoFanatic,UT San Antonio,July,7/23/2020,,,August,8/14/2020,,,,,,
2021,ImmunoFanatic,Yale,September,09/10/2020,,,November,11/13/2020,February,,May,5/4/2021,,
2021,The_biologist,Drexel,August,08/12/2020,,,December,12/1/2020,,,,,,
2021,The_biologist,University of Alabama,August,8/28/2020,,,August,8/31/2020,,,,,,
2021,The_biologist,UT San Antonio,August,08/04/2020,,,September,9/9/2020,,,,,,
2021,The_biologist,University of Pittsburgh,September,9/22/2020,September,9/28/2020,,,,,,,,
2021,crustywonton,Duke,July,7/27/2020,,,September,9/14/2020,,,,,,
2021,crustywonton,Icahn at Mt. Sinai,July,7/13/2020,,,October,10/30/2020,,,,,,
2021,crustywonton,Mayo Clinic,July,7/18/2020,,,November,11/10/2020,,,,,,
2021,crustywonton,New York University,July,7/13/2020,,,September,9/23/2020,October,10/26/2020,December,12/18/2020,,
2021,crustywonton,Perelman School of Medicine,July,7/31/2020,,,October,10/7/2020,,,,,,
2021,crustywonton,University of Michigan,July,7/11/2020,,,September,9/7/2020,,,,,,
2021,crustywonton,University of North Carolina,July,7/24/2020,,,November,11/10/2020,January,1/10/2021,February,2/9/2021,,
2021,crustywonton,Vanderbilt,July,7/13/2020,,,November,11/4/2020,,,,,,
2021,crustywonton,WashU in St. Louis,July,7/18/2020,,,October,10/23/2020,November,11/13/2020,January,1/14/2021,,
2021,crustywonton,UC Los Angeles,July,7/22/2020,November,11/10/2020,,,,,,,,
2021,crustywonton,UC San Diego,July,7/12/2020,October,10/21/2020,,,,,,,,
2021,crustywonton,University of Pittsburgh,July,7/18/2020,December,12/14/2020,,,,,,,,
2021,crustywonton,Yale,July,7/14/2020,September,9/16/2020,,,,,,,,
2021,SaltyDoge,Duke,August,8/18/2020,,,October,10/7/2020,,,,,,
2021,SaltyDoge,Northwestern,September,9/18/2020,,,November,11/16/2020,,,,,,
2021,SaltyDoge,New York University,August,8/18/2020,,,October,10/7/2020,November,11/9/2020,December,12/18/2020,,
2021,SaltyDoge,Perelman School of Medicine,August,8/18/2020,,,September,9/18/2020,,,,,,
2021,SaltyDoge,UC Los Angeles,August,8/25/2020,,,September,9/18/2020,,,,,,
2021,SaltyDoge,University of Iowa,August,8/25/2020,,,September,9/9/2020,,,,,,
2021,SaltyDoge,Weill Cornell Tri-I,August,8/19/2020,,,September,9/11/2020,,,,,,
2021,karenina0413,Icahn at Mt. Sinai,August,8/28/2020,,,September,9/7/2020,,,,,,
2021,karenina0413,Johns Hopkins,November,11/1/2020,,,December,12/8/2020,,,,,,
2021,karenina0413,NIH Oxford/Cambridge,December,12/1/2020,,,January,1/12/2021,,,,,,
2021,karenina0413,University of Chicago,September,9/20/2020,,,December,12/21/2020,,,,,,
2021,karenina0413,University of Connecticut,September,9/1/2020,,,October,10/22/2020,,,,,,
2021,karenina0413,University of Rochester,September,9/1/2020,,,October,10/21/2020,,,,,,
2021,karenina0413,Vanderbilt,October,10/11/2020,,,January,1/5/2021,,,,,,
2021,karenina0413,Stanford,November,11/5/2020,January,1/2/2021,,,,,,,,
2021,karenina0413,UC Los Angeles,September,9/24/2020,November,11/10/2020,,,,,,,,
2021,karenina0413,WashU in St. Louis,September,9/28/2020,October,10/30/2020,,,,,,,,
2021,karenina0413,Yale,December,12/15/2020,December,12/29/2020,,,,,,,,
2021,theOshow,Icahn at Mt. Sinai,July,7/29/2020,,,September,9/7/2020,,,,,,
2021,theOshow,New York University,July,7/25/2020,,,September,9/11/2020,,,,,,
2021,theOshow,University of Florida,August,8/19/2020,,,September,9/11/2020,,,,,,
2021,theOshow,University of Virginia,July,7/28/2020,,,August,8/28/2020,September,9/28/2020,October,10/21/2020,,
2021,theOshow,Vanderbilt,July,,,,September,9/18/2020,,,,,,
2021,theOshow,Weill Cornell Tri-I,August,8/6/2020,,,September,9/2/2020,November,,December,12/15/2020,,
2021,CashewBestNut,Icahn at Mt. Sinai,July,7/30/2020,,,September,9/7/2020,,,,,,
2021,CashewBestNut,Stony Brook,July,07/27/2020,,,December,12/7/2020,,,,,,
2021,CashewBestNut,Texas A&M,July,7/25/2020,,,September,9/08/2020,,,,,,
2021,CashewBestNut,University of Rochester,July,7/21/2020,,,September,9/14/2020,,,,,,
2021,CashewBestNut,UT San Antonio,July,7/10/2020,,,August,8/14/2020,September,9/3/2020,October,10/20/2020,,
2021,CashewBestNut,Weill Cornell Tri-I,July,7/20/2020,August,8/27/2020,,,,,,,,
2021,CashewBestNut,Johns Hopkins,July,7/24/2020,December,12/14/2020,,,,,,,,
2021,CashewBestNut,Mayo Clinic,August,8/12/2020,October,10/28/2020,,,,,,,,
2021,CashewBestNut,Stanford,July,7/20/2020,October,10/7/2020,,,,,,,,
2021,CashewBestNut,UC San Diego,July,7/12/2020,January,1/26/2021,,,,,,,,
2021,CashewBestNut,UC San Francisco,August,8/2/2020,January,1/28/2021,,,,,,,,
2021,CashewBestNut,University of Michigan,July,7/13/2020,November,11/10/2020,,,,,,,,
2021,CashewBestNut,University of Pittsburgh,July,7/20/2020,November,11/23/2020,,,,,,,,
2021,CashewBestNut,USC-Caltech,August,8/21/2020,November,11/13/2020,,,,,,,,
2021,CashewBestNut,WashU in St. Louis,July,7/23/2020,August,8/26/2020,,,,,,,,
2021,CashewBestNut,Yale,July,7/21/2020,November,11/30/2020,,,,,,,,
2021,lopezchm,Icahn at Mt. Sinai,July,7/20/2020,,,November,11/9/2020,,,,,,
2021,lopezchm,Mayo Clinic,August,8/27/2020,,,October,10/28/2020,January,1/22/2021,February,2/6/2021,,
2021,lopezchm,Oregon Health & Science University,August,8/12/2020,,,October,10/26/2020,October,,January,1/6/2021,,
2021,lopezchm,Stanford,August,8/2/2020,,,November,11/10/2020,December,,April,4/26/2021,,
2021,lopezchm,University of Arizona,August,8/5/2020,,,October,10/20/2020,,,,,,
2021,lopezchm,UC Davis,July,7/25/2020,,,December,12/4/2020,,,,,,
2021,lopezchm,UC San Diego,July,7/5/2020,,,November,11/06/2020,January,1/15/2021,April,4/28/2021,,
2021,lopezchm,University of Colorado,July,7/30/2020,,,October,10/29/2020,December,12/16/2020,January,1/27/2021,,
2021,lopezchm,University of Iowa,September,9/5/2020,,,October,10/9/2020,October,,November,11/7/2020,,
2021,lopezchm,University of Maryland,August,8/1/2020,,,December,12/7/2020,December,12/7/2020,January,1/12/2021,,
2021,Dhanthedreamer,Icahn at Mt. Sinai,September,9/13/2020,,,October,10/30/2020,,,,,,
2021,Dhanthedreamer,University of Rochester,August,08/30/2020,,,October,10/20/2020,,,,,,
2021,Dhanthedreamer,Yale,August,08/27/2020,,,October,10/06/2020,,,,,,
2021,scineurd,Indiana University,July,7/13/2020,,,August,8/4/2020,,,,,,
2021,scineurd,Mayo Clinic,July,,,,December,12/23/2020,,,,,,
2021,scineurd,Ohio State University,July,7/15/2020,,,August,08/28/2020,,,,,,
2021,scineurd,University of Chicago,July,7/14/2020,,,August,8/13/2020,,,,,,
2021,scineurd,University of Colorado,July,,,,January,01/11/2021,,,,,,
2021,scineurd,University of Iowa,July,07/28/2020,,,September,09/24/2020,November,,January,1/21/2021,,
2021,scineurd,University of Pittsburgh,July,7/20/2020,,,August,08/20/2020,September,9/26/2020,,,November,11/06/2020
2021,scineurd,University of Wisconsin,July,7/13/2020,,,September,9/30/2020,,,,,,
2021,scineurd,WashU in St. Louis,July,7/18/2020,,,August,8/26/2020,October,10/8/2020,,,November,11/13/2020
2021,scineurd,Stanford,July,7/23/2020,September,9/30/2020,,,,,,,,
2021,scineurd,UC San Diego,July,,September,9/17/2020,,,,,,,,
2021,scineurd,University of Michigan,July,7/12/2020,November,11/10/2020,,,,,,,,
2021,scineurd,University of Minnesota,August,,December,12/29/2020,,,,,,,,
2021,scineurd,Yale,July,,December,12/29/2020,,,,,,,,
2021,scineurd,University of Washington,July,7/24/2020,July,7/28/2020,,,,,,,,
2021,Thriver_MD,Indiana University,July,7/22/2020,,,August,8/4/2020,,,,,,
2021,Thriver_MD,Medical University of South Carolina,July,7/30/2020,,,August,8/21/2020,October,10/23/2020,November,11/19/2020,,
2021,Thriver_MD,Ohio State University,July,7/20/2020,,,October,10/20/2020,,,,,,
2021,Thriver_MD,University of Maryland,July,7/25/2020,,,October,10/13/2020,,,,,,
2021,Thriver_MD,University of Miami,August,8/7/2020,,,October,10/6/2020,,,,,,
2021,Thriver_MD,UT San Antonio,July,7/21/2020,,,September,9/11/2020,,,,,,
2021,Cells,Loyola University,October,10/11/2020,,,November,11/3/2020,,,,,,
2021,wrj203,Mayo Clinic,August,8/28/2020,,,October,10/28/2020,,,,,,
2021,wrj203,New York University,,,,,,,September,9/21/2020,February,2/2/2021,,
2021,wrj203,Case Western,July,7/30/2020,February,2/2/2021,,,,,,,,
2021,wrj203,Weill Cornell Tri-I,July,7/20/2020,October,10/23/2020,,,,,,,,
2021,wrj203,Harvard,July,7/23/2020,September,9/24/2020,,,,,,,,
2021,wrj203,Icahn at Mt. Sinai,July,7/30/2020,January,1/22/2021,,,,,,,,
2021,wrj203,Johns Hopkins,July,7/22/2020,December,12/14/2020,,,,,,,,
2021,wrj203,Stanford,July,7/25/2020,October,10/4/2020,,,,,,,,
2021,wrj203,UC Los Angeles,August,8/3/2020,February,2/5/2021,,,,,,,,
2021,wrj203,UC San Diego,July,7/18/2020,January,1/26/2021,,,,,,,,
2021,wrj203,UC San Francisco,August,8/17/2020,February,2/1/2021,,,,,,,,
2021,wrj203,University of Michigan,July,7/16/2020,September,9/14/2020,,,,,,,,
2021,wrj203,Perelman School of Medicine,August,8/9/2020,February,2/4/2021,,,,,,,,
2021,wrj203,University of Pittsburgh,July,7/25/2020,August,8/31/2020,,,,,,,,
2021,wrj203,UT Southwestern,July,7/18/2020,January,1/28/2021,,,,,,,,
2021,wrj203,WashU in St. Louis,July,7/29/2020,September,9/14/2020,,,,,,,,
2021,wrj203,Yale,July,7/20/2020,December,12/22/2020,,,,,,,,
2021,sweetpotater,Mayo Clinic,August,8/28/2020,,,October,10/28/2020,January,1/22/2021,April,4/30/2021,,
2021,sweetpotater,Boston University,,,,,,,October,10/8/2020,December,12/11/2020,,
2021,sweetpotater,Rutgers,,,,,,,October,,November,,,
2021,Naija_Queen_5eva,Mayo Clinic,October,10/02/2020,,,October,10/28/2020,,,,,,
2021,Naija_Queen_5eva,University of Iowa,September,9/01/2020,,,September,9/09/2020,,,,,,
2021,Naija_Queen_5eva,Wayne State University,August,08/28/2020,,,November,11/02/2020,November,11/19/2020,February,2/26/2021,,
2021,Naija_Queen_5eva,University of Illinois,,,,,,,February,2/22/2021,March,3/12/2021,,
2021,Naija_Queen_5eva,Boston University,September,9/11/2020,October,10/13/2020,,,,,,,,
2021,Naija_Queen_5eva,Drexel,September,9/6/2020,November,11/3/2020,,,,,,,,
2021,Naija_Queen_5eva,University of Alabama,September,9/24/2020,October,10/21/2020,,,,,,,,
2021,Naija_Queen_5eva,University of Wisconsin,August,8/28/2020,October,10/2/2020,,,,,,,,
2021,studentloans4ever,Medical College of Wisconsin,July,7/27/2020,,,October,10/29/2020,,,,,,
2021,studentloans4ever,Thomas Jefferson,August,8/11/2020,,,August,8/19/2020,,,,,,
2021,studentloans4ever,University of Iowa,August,8/28/2020,,,September,9/9/2020,November,11/11/2020,December,12/22/2020,,
2021,studentloans4ever,UT San Antonio,July,7/11/2020,,,September,9/11/2020,December,12/12/2020,December,12/23/2020,,
2021,studentloans4ever,Case Western,July,7/23/2020,December,12/18/2020,,,,,,,,
2021,studentloans4ever,Weill Cornell Tri-I,August,8/25/2020,September,9/9/2020,,,,,,,,
2021,studentloans4ever,UC Los Angeles,August,8/28/2020,September,9/18/2020,,,,,,,,
2021,studentloans4ever,UC San Diego,July,7/24/2020,September,9/15/2020,,,,,,,,
2021,studentloans4ever,University of Michigan,July,7/30/2020,September,9/14/2020,,,,,,,,
2021,studentloans4ever,University of North Carolina,August,8/3/2020,December,12/16/2020,,,,,,,,
2021,studentloans4ever,University of Pittsburgh,July,7/30/2020,August,8/31/2020,,,,,,,,
2021,studentloans4ever,University of Rochester,July,7/30/2020,November,11/19/2020,,,,,,,,
2021,studentloans4ever,University of Washington,August,8/5/2020,August,8/6/2020,,,,,,,,
2021,studentloans4ever,WashU in St. Louis,July,7/29/2020,September,9/21/2020,,,,,,,,
2021,mphdd13576,Medical University of South Carolina,July,7/30/2020,,,August,8/21/2020,,,,,,
2021,mphdd13576,University of Pittsburgh,July,7/21/2020,,,August,8/20/2020,,,,,,
2021,withak,Ohio State University,July,7/23/2020,,,August,8/28/2020,,,,,,
2021,withak,Oregon Health & Science University,August,8/17/2020,,,October,10/7/2020,,,,,,
2021,withak,Stanford,July,7/30/2020,,,September,9/30/2020,,,,,,
2021,withak,UC Irvine,August,8/30/2020,,,September,9/21/2020,November,11/12/2020,December,12/4/2020,,
2021,withak,UC San Diego,July,7/14/2020,,,November,11/16/2020,,,,,,
2021,withak,University of Connecticut,August,8/3/2020,,,September,9/14/2020,,,,,,
2021,withak,University of Massachusetts,August,8/18/2020,,,September,9/23/2020,,,,,,
2021,withak,University of Rochester,July,7/21/2020,,,August,8/28/2020,,,,,,
2021,withak,UT Houston,July,7/25/2020,,,September,9/9/2020,,,,,,
2021,withak,Wayne State University,July,7/21/2020,,,November,11/02/2020,,,,,,
2021,amethyst131,Ohio State University,August,08/04/2020,,,August,08/28/2020,,,,,,
2021,amethyst131,University of Alabama,August,08/24/2020,,,August,08/28/2020,September,9/9/2020,November,11/6/2020,,
2021,amethyst131,University of Washington,August,08/10/2020,,,August,08/28/2020,January,1/28/2021,February,2/1/2021,,
2021,amethyst131,Case Western,,,,,,,October,10/14/2020,December,12/18/2020,,
2021,amethyst131,University of Rochester,,,,,,,October,10/29/2020,December,12/1/2020,,
2021,amethyst131,WashU in St. Louis,,,,,,,January,1/14/2021,February,2/5/2021,,
2021,gnohmChild,Ohio State University,August,8/06/2020,,,September,9/05/2020,,,,,,
2021,gnohmChild,UT San Antonio,July,7/20/2020,,,August,8/14/2020,,,,,,
2021,gnohmChild,Vanderbilt,,,,,,,October,,December,12/21/2020,,
2021,gnohmChild,Weill Cornell Tri-I,July,7/14/2020,August,8/27/2020,,,,,,,,
2021,gnohmChild,University of Washington,July,7/14/2020,July,7/16/2020,,,,,,,,
2021,Cormen_Algorithms,Perelman School of Medicine,August,,,,October,10/7/2020,,,,,,
2021,Cormen_Algorithms,University of Pittsburgh,August,,,,September,9/9/2020,,,,,,
2021,Cormen_Algorithms,Weill Cornell Tri-I,August,,,,September,9/11/2020,,,,,,
2021,pyramidwalrus,Perelman School of Medicine,August,8/17/2020,,,October,10/20/2020,,,,,,
2021,pyramidwalrus,UC Los Angeles,August,8/17/2020,,,November,11/1/2020,December,12/3/2020,,,February,2/11/2021
2021,pyramidwalrus,University of Illinois,August,8/22/2020,,,October,10/12/2020,,,,,,
2021,pyramidwalrus,University of Washington,August,8/24/2020,,,August,8/28/2020,January,1/28/2021,February,2/1/2021,,
2021,pyramidwalrus,Northwestern,,,,,,,January,1/20/2021,February,2/11/2021,,
2021,pyramidwalrus,Stanford,August,8/20/2020,October,10/29/2020,,,,,,,,
2021,pyramidwalrus,UC San Diego,August,8/17/2020,November,11/18/2020,,,,,,,,
2021,pyramidwalrus,UC San Francisco,August,8/24/2020,January,1/29/2021,,,,,,,,
2021,pyramidwalrus,University of Chicago,August,8/24/2020,February,2/9/2021,,,,,,,,
2021,pyramidwalrus,University of Colorado,August,8/24/2020,February,2/9/2021,,,,,,,,
2021,pyramidwalrus,University of Michigan,August,8/24/2020,February,2/9/2021,,,,,,,,
